Date,Race,Gap,Step,Stake,Cost,Payout,PnL,Equity,Notes
2025-03-31,3,26,8,41.03386729999998,48.275137999999984,0.0,-48.275137999999984,-450.7166411619999,LOSS (Stp 7)
2025-04-02,2,27,9,69.75757440999998,41.03386729999998,0.0,-41.03386729999998,-491.7505084619999,LOSS (Stp 8)
2025-04-02,3,28,10,118.58787649699995,139.51514881999995,0.0,-139.51514881999995,-631.2656572819999,LOSS (Stp 9)
2025-04-03,2,29,0,1.0,118.58787649699995,0.0,-118.58787649699995,-749.8535337789998,LOSS (Stp 10) [STOP LOSS]
2025-04-03,3,30,2,1.7,2.0,0.0,-2.0,-751.8535337789998,LOSS Entry
2025-04-04,2,31,3,2.8899999999999997,1.7,0.0,-1.7,-753.5535337789998,LOSS (Stp 2)
2025-04-04,3,32,4,4.912999999999999,5.779999999999999,0.0,-5.779999999999999,-759.3335337789998,LOSS (Stp 3)
2025-04-05,2,33,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,-764.2465337789998,LOSS (Stp 4)
2025-04-05,3,34,6,14.198569999999997,16.704199999999997,0.0,-16.704199999999997,-780.9507337789998,LOSS (Stp 5)
2025-04-05,4,35,7,24.137568999999992,42.59570999999999,0.0,-42.59570999999999,-823.5464437789998,LOSS (Stp 6)
2025-04-06,2,36,8,41.03386729999998,24.137568999999992,0.0,-24.137568999999992,-847.6840127789998,LOSS (Stp 7)
2025-04-06,3,0,1,1.0,82.06773459999997,369.30480569999986,287.23707109999987,-560.4469416789999,WIN on 5 (Stp 8)
2025-04-22,3,10,2,1.7,2.0,0.0,-2.0,-562.4469416789999,LOSS Entry
2025-04-23,2,11,3,2.8899999999999997,1.7,0.0,-1.7,-564.146941679,LOSS (Stp 2)
2025-04-23,3,12,4,4.912999999999999,5.779999999999999,0.0,-5.779999999999999,-569.9269416789999,LOSS (Stp 3)
2025-04-24,2,13,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,-574.8399416789999,LOSS (Stp 4)
2025-04-24,3,0,1,1.0,16.704199999999997,75.16889999999998,58.46469999999998,-516.3752416789999,WIN on 8 (Stp 5)
2025-05-09,3,0,1,1.0,2.0,9.0,7.0,-509.37524167899994,WIN Entry on 6
2025-05-24,4,0,1,1.0,3.0,9.0,6.0,-503.37524167899994,WIN Entry on 2
2025-05-30,3,0,1,1.0,2.0,9.0,7.0,-496.37524167899994,WIN Entry on 3
2025-06-17,2,10,2,1.7,1.0,0.0,-1.0,-497.37524167899994,LOSS Entry
2025-06-17,3,11,3,2.8899999999999997,3.4,0.0,-3.4,-500.7752416789999,LOSS (Stp 2)
2025-06-17,4,0,1,1.0,8.669999999999998,26.009999999999998,17.34,-483.43524167899994,WIN on 4 (Stp 3)
2025-07-13,2,10,2,1.7,1.0,0.0,-1.0,-484.43524167899994,LOSS Entry
2025-07-13,3,11,3,2.8899999999999997,3.4,0.0,-3.4,-487.8352416789999,LOSS (Stp 2)
2025-07-13,4,0,1,1.0,8.669999999999998,26.009999999999998,17.34,-470.49524167899995,WIN on 5 (Stp 3)
2025-07-21,2,10,2,1.7,1.0,0.0,-1.0,-471.49524167899995,LOSS Entry
2025-07-21,3,11,3,2.8899999999999997,3.4,0.0,-3.4,-474.8952416789999,LOSS (Stp 2)
2025-07-22,2,12,4,4.912999999999999,2.8899999999999997,0.0,-2.8899999999999997,-477.7852416789999,LOSS (Stp 3)
2025-07-22,3,13,5,8.352099999999998,9.825999999999999,0.0,-9.825999999999999,-487.61124167899993,LOSS (Stp 4)
2025-07-23,2,14,6,14.198569999999997,8.352099999999998,0.0,-8.352099999999998,-495.96334167899994,LOSS (Stp 5)
2025-07-23,3,15,7,24.137568999999992,28.397139999999993,0.0,-28.397139999999993,-524.3604816789999,LOSS (Stp 6)
2025-07-24,2,16,8,41.03386729999998,24.137568999999992,0.0,-24.137568999999992,-548.4980506789999,LOSS (Stp 7)
2025-07-24,3,0,1,1.0,82.06773459999997,369.30480569999986,287.23707109999987,-261.26097957900004,WIN on 0 (Stp 8)
2025-08-09,3,10,2,1.7,2.0,0.0,-2.0,-263.26097957900004,LOSS Entry
2025-08-09,4,11,3,2.8899999999999997,5.1,0.0,-5.1,-268.36097957900006,LOSS (Stp 2)
2025-08-10,2,12,4,4.912999999999999,2.8899999999999997,0.0,-2.8899999999999997,-271.25097957900005,LOSS (Stp 3)
2025-08-10,3,0,1,1.0,9.825999999999999,44.21699999999999,34.39099999999999,-236.85997957900008,WIN on 7 (Stp 4)
2025-08-22,2,10,2,1.7,1.0,0.0,-1.0,-237.85997957900008,LOSS Entry
2025-08-22,3,11,3,2.8899999999999997,3.4,0.0,-3.4,-241.2599795790001,LOSS (Stp 2)
2025-08-22,4,12,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,-249.92997957900008,LOSS (Stp 3)
2025-08-23,2,13,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,-254.8429795790001,LOSS (Stp 4)
2025-08-23,3,14,6,14.198569999999997,16.704199999999997,0.0,-16.704199999999997,-271.5471795790001,LOSS (Stp 5)
2025-08-23,4,15,7,24.137568999999992,42.59570999999999,0.0,-42.59570999999999,-314.1428895790001,LOSS (Stp 6)
2025-08-24,2,16,8,41.03386729999998,24.137568999999992,0.0,-24.137568999999992,-338.2804585790001,LOSS (Stp 7)
2025-08-24,3,17,9,69.75757440999998,82.06773459999997,0.0,-82.06773459999997,-420.3481931790001,LOSS (Stp 8)
2025-08-24,4,0,1,1.0,209.27272322999994,627.8181696899998,418.5454464599998,-1.8027467190003108,WIN on 6 (Stp 9)
2025-09-03,3,10,2,1.7,2.0,0.0,-2.0,-3.802746719000311,LOSS Entry
2025-09-04,2,0,1,1.0,1.7,15.299999999999999,13.6,9.797253280999687,WIN on 5 (Stp 2)
2025-09-13,3,0,1,1.0,2.0,9.0,7.0,16.797253280999687,WIN Entry on 5
2025-10-19,3,0,1,1.0,2.0,9.0,7.0,23.797253280999687,WIN Entry on 0
2025-10-31,3,0,1,1.0,2.0,9.0,7.0,30.797253280999687,WIN Entry on 8
2025-12-04,3,10,2,1.7,2.0,0.0,-2.0,28.797253280999687,LOSS Entry
2025-12-05,2,11,3,2.8899999999999997,1.7,0.0,-1.7,27.097253280999688,LOSS (Stp 2)
2025-12-05,3,12,4,4.912999999999999,5.779999999999999,0.0,-5.779999999999999,21.317253280999687,LOSS (Stp 3)
2025-12-06,2,13,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,16.404253280999686,LOSS (Stp 4)
2025-12-06,3,14,6,14.198569999999997,16.704199999999997,0.0,-16.704199999999997,-0.2999467190003102,LOSS (Stp 5)
2025-12-07,2,15,7,24.137568999999992,14.198569999999997,0.0,-14.198569999999997,-14.498516719000307,LOSS (Stp 6)
2025-12-07,3,16,8,41.03386729999998,48.275137999999984,0.0,-48.275137999999984,-62.77365471900029,LOSS (Stp 7)
2025-12-07,4,0,1,1.0,123.10160189999995,369.30480569999986,246.20320379999993,183.4295490809996,WIN on 3 (Stp 8)
2025-12-13,3,0,1,1.0,2.0,9.0,7.0,190.4295490809996,WIN Entry on 9
2025-12-17,2,10,2,1.7,1.0,0.0,-1.0,189.4295490809996,LOSS Entry
2025-12-17,3,11,3,2.8899999999999997,3.4,0.0,-3.4,186.0295490809996,LOSS (Stp 2)
2025-12-17,4,12,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,177.3595490809996,LOSS (Stp 3)
2025-12-18,2,13,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,172.4465490809996,LOSS (Stp 4)
2025-12-18,3,14,6,14.198569999999997,16.704199999999997,0.0,-16.704199999999997,155.74234908099962,LOSS (Stp 5)
2025-12-18,4,0,1,1.0,42.59570999999999,127.78712999999996,85.19141999999997,240.93376908099958,WIN on 9 (Stp 6)
2026-01-09,2,10,2,1.7,1.0,0.0,-1.0,239.93376908099958,LOSS Entry
2026-01-09,3,0,1,1.0,3.4,15.299999999999999,11.899999999999999,251.8337690809996,WIN on 7 (Stp 2)
